comment,replies,date,user_name
"12:39 you can't tell me that's not a zuckerberg, lizard people, cyborg clone",[],2024-03-16T16:45:22Z,@notimportant3686
It's almost like sociopaths are more likely to become CEOs. Regardless of gender.,[],2024-03-15T00:58:04Z,@lauriepenner350
Matt Taibbi and Elizabeth Holmes have the same voice coach.,[],2024-03-10T16:44:25Z,@shaunsmith9013
"IT NOT ABOUT BEEN A MAN OR A WOMEN. DO YOU KNOW WHAT YOU ARE DOING? CAN YOU BE TRUSTED, ARE YOU HUMBLE? CAN YOUHEAR YOUR SUCCSS WITH YOUR TEAM? SOCAIAL MEDIA IS NOT THE REAL WORLD",[],2024-02-13T04:35:18Z,@thomasrogers9146
"I BUILD A MULTI MILLION DOLLAR MODULAR CONSTRUCTION COMPANY. STAY AWAY FROM THE HYPE. AS A BLACK MAN, ITS ALL ABOUT INTEGRETY AND MAKING SURE YOUR PRODUCTS ARE THE BEST. HYPE WITHOUT SUBSTANCE IS BS.",[],2024-02-13T04:33:09Z,@thomasrogers9146
"Look how often stories about female execs cutting off the ladder to other women once they attain any power,this type also proves to have an extraordinarily brittle personality who's hard exterior ( often mistaken for ambition by male execs) is a mask for deep seated insecurity.( All to often mimicking a frequent male exec trait)",[],2024-02-11T03:58:30Z,@nigelbagguley7606
Cruel World Happy Mind is the female Kat Williams of journalism exposing fraudulent clout chasers calling themselves ' Girl Boss'.,[],2024-01-27T22:51:18Z,@rickyclover9393
"Women have learnt that a CEO being the same gender as you matters nothing to you as a worker. Rich people don't care about the average person, no matter what gender they are.",[],2024-01-24T19:45:57Z,@DalmarWolf
Girk boss? 👻,[],2024-01-22T05:16:22Z,@aquious953
Isn't being a psychopath a requirement to be a ceo,[],2024-01-05T11:20:28Z,@edisedis7142
I love the 1.5 times faster speed up of the TV clips.,[],2024-01-02T01:34:29Z,@Noosa21
Society has moved past the need for bosses,[],2024-01-01T01:03:13Z,@greenfloatingtoad
I've never heard Elizabeth holmes voice holy nuts that's so not her real voice that's insane,[],2023-12-30T23:52:54Z,@proudtobeinvisible
"Any time I think of a girlboss, I think of Italy's prime minister Giorgia Meloni, a fascist.",[],2023-12-21T09:02:22Z,@kylelundgren5133
Why does Elizabeth Holmes sound like she’s constantly trying to do an impression of a male voice?,['She dresses like (the late) Steve Jobs and tries to act like him'],2023-12-19T17:18:27Z,@solarflare623
I hope they love it because us men dont give a fuck. Infact we prefer submissive women that will help us in our endeavors.  Can only be one man in the house ans thats why so many women are single these days.,"['sometimes it’s not about you guys. Hope that helps!', '«\xa0can only be one men in the house\xa0» have you ever heard about gay people ?🤣🤣🤣🤣🤣']",2023-12-07T18:14:50Z,@ChrisJohnson-h9e
The real word is called business women and they have been around forever.,[],2023-12-06T13:15:14Z,@wucash5672
"Its a stupid little fantasy trend, just like most female crap.",[],2023-11-27T16:41:45Z,@paulbeaney4901
The only talent they have that can talk fast but they all snake oil sellers.,[],2023-11-24T07:46:08Z,@McCorduRoy1972
"""We are equally terrible""
Words to live by",[],2023-11-14T04:55:42Z,@BiBiren
Has that Sandberg lady been speeded up?,[],2023-11-09T15:53:59Z,@mattking68
I mean men do this every every day.,[],2023-11-08T14:54:03Z,@stevensonjc21
"Well Mrs Sandberg, don't complain about the lack of woman presidencies, do the work to aquire one...! 

See, that's where you Ladies are all wrong - you are so stuck in your ""patriarchy"" nonsense that you seriously assume men are given those things just like that...",[],2023-10-27T21:19:30Z,@maxmeister5064
it's a sexual fantasy for men & bi women,[],2023-10-25T16:36:20Z,@ertjg
Elizabeth Holmes is a man?,[],2023-10-16T20:36:32Z,@bilbobaggins4403
Incentitives?,[],2023-10-16T20:28:00Z,@bilbobaggins4403
"Speaking as a guy who has had not one not two not three but at least seven different female bosses, all of them have cried in the office, all of them has been unnecessarily catty and aggressive towards other employees especially women employees that has caused in my time working at these establishments over twenty different people quitting. That's not even to get into the fact that women in positions of power have been found to be more likely to start a war. 
It is also latent with hypocrisy double standards and an inability to hire qualified candidates due to own-group preference.",[],2023-10-15T04:56:47Z,@PricelessBinkey1337
Wow..that girl boss who copy other ppl stuff and try to say she created was wack af..i bet she one of those who always asked to copy your homework..because she’s too lazy to do hers..😂,[],2023-10-08T12:50:06Z,@LilJohn_80
"Ive heard women of minority groups use girl boss plenty id say if you haven’t then you yourself are operating inside a specific demographic box. And  with that I’ve also seen and heard of women pitching to end someone’s  success at heir reasons being different of course then just pure envy (look at any of the real housewives of …. ). My only question is why don’t we have the same expectations and demands of minority women to include white women in there business’s. I mean they are allowed to cater specifically to themselves . My point being is if it’s accepted for one side side why wouldn’t it be for another side. Well bc it’s not right ,right? I mean how could your celebrate with out everybody. I just wonder why one group can be very vocal that they are only about themselves and it doesn’t raise an eyebrow. Yet other groups get called out for not feeling diverse enough? I think if these are the points we are going to argue everyone should have to follow the same rules. And honestly it would be a bad thing it’d really make everyone better. Don’t we all deserve to feel accepted where ever we want to to go ? Of course we do so let make it the standard we all follow.",[],2023-09-30T17:03:05Z,@2KMMC2
"It's not just anti-black and LGBT attitudes, but class-related, too. How many of these firms were founded by alums of Harvard, Stanford and other elite institutions?",[],2023-09-28T15:25:49Z,@VincentPaterno-hs2fv
"Male, female, if you gotta flex your not a boss.",[],2023-09-21T08:11:13Z,@jimmyclimer594
