2023-07-06 14:18:43,I can’t thank you enough for this content. So many thoughts go through my head at work every day. Many that I can’t find the space to release. To hear you speak about the challenges and fears that I’ve faced and heard in such a real way is so refreshing. I’ve mostly had male managers and it’s always felt like they see things differently. Thank you for diving deep and speaking about it all. I love hearing the encouragement and advice you give each other.,5,SophiePaga,So comforting to hear these women say what I think out loud!
2023-02-28 19:42:31,"I absolutely love this podcast. From the inspiring interviews to the practical tips shared, every episode is a must-listen. The hosts are all knowledgeable, insightful, and engaging, making the listening experience both enjoyable and informative. I highly recommend Women at Work to anyone looking for a fresh, feminist perspective on life!",5,Andieo1997,A Really Insightful Show
2023-01-31 16:12:25,"I found the entire series very useful, but I wanted to highlight the episode re supporting employees with children with mental health challenges. I’ve gone through this in the past three years with various leadership teams and who is on top makes a world of a difference in my own performance at work and trying to manage making sure I’m bringing my a game to work and to ensuring my children have what they need to thrive.",5,elizabethdg,Great Podcast
2022-10-18 10:43:54,"I love this new series with Amy Gallo: Getting Along.  The practical tips and reframing are so much more powerful in this “call-in consultation” format.  I especially loved the Tormentor episode, as I had a similar work situation to the caller, and found the insights and techniques powerful, insightful, validating (and challenging).",5,ca es,Love this new series
2022-10-08 00:08:47,"The hosts of the Women at Work podcast consistently offer a different viewpoint on a multitude of topics.  Although I might not personally carry each opinion, I always enjoy the podcast because it shows me how someone else may think about something.  Definitely a must listen!",5,Shortiwithani,Always adding value to the workplace
2022-02-15 16:12:36,"That’s not a show setting, but an app setting. Haven’t actually listened to this podcast yet but highly recommended by my colleagues!",5,2neos,Change your settings to see newest first
2022-05-11 00:43:24,"As a woman in a C level position in professional sports (yes, all men around me). The last episode I listened to was embarrassing and it has nothing to do with gender. It has everything to do with being a respectful team player. Shame on you!",2,Jess Fick,Don’t always listen to their advice
2022-01-04 22:37:31,"Why ordering the episodes from old to new? I almost thought it stopped putting out new episodes. Other than that, I love it so much.",5,Dian Z.,Great show but
2021-11-17 23:49:33,"I learn such valuable tools listening to this podcast. Keep up the great work, it’s much appreciated.",5,nycatskills,Valuable Tools
2021-07-28 01:26:58,The hosts are so insightful and I love the way they speak. They bring on some great guests to the show who have a great deal of knowledge to share. Highly recommend!,5,baurorag,Love this podcast!
2021-07-26 09:20:10,Absolutely one of my fave podcasts to listen to. Feels like a mentor or colleague giving me advice or teaching me new things.,5,PCN33,Always looking forward to new episodes!
2021-04-22 23:26:52,"Gosh, i love this podcast so much. Its my go to listen for when im in learning mode or having questions to literally anything related to my professional career. U guys are doing such a great job to help women around the world who has access to ur podcast to position themselves better at work. Thank you!",5,PhuongN1994,"Free, relevant, digestible, valuable career advices"
2021-07-02 15:13:36,Love what you have to say. Slow down.,4,JazKraw,Ashley talks too fast
2021-04-06 03:00:00,"Loved the first episode of the Family Management series, looking forward to more!",5,Danielle Az,Family Management
2021-02-02 04:53:29,"I’ve been listening since the beginning, the topics discussed and the guests always keep things interesting.",5,DKreu,Love this podcast!
2020-12-13 20:04:25,This podcast has been life changing. Need more content!!!,5,neneseda,A must for all working women
2020-12-10 08:21:57,I enjoy listing to these while I exercise. Thank you!,5,Jjarmen,Great content
2020-11-16 22:41:47,"To the hosts, thanks for sharing your own personal struggles on your own career paths as women! Awesome source! Love the energy of every episode!",5,Jakub[SOP],Powerful podcast!
2020-10-30 23:49:56,"Engaging episodes , relevant topics and inspiring women.  I’m constantly sharing episodes with friends and co-workers.",5,MJS DC,A must listen podcast for women in the work force
2020-10-19 22:05:54,I loved every single one! Very inspiring!,5,mariastela,Outstanding
2020-09-21 11:00:26,Such an empowering and informative podcast for women. It has impacted me a lot before stepping into professional life & and during it. I look forward to more talks and life-changing lessons!,5,Nicoleta Paladi,A life-changer!
2020-10-01 20:43:01,"A little late to this podcast but a bit shocked on the episode disparaging workers without kids who have picked up the pieces for working parents. I worked 60-80 hours a week because another key member of my team had a child and couldn’t. And the thanks I got was to be laid off, yet he wasn’t, so please respect how hard COVID is for ALL women. Until then, I’ll have to give up on this podcast. So disappointed and shocked by Harvard.",3,Midwest bred,Aren’t you supposed to support all women? Even those without kids?
2020-08-08 18:40:54,Thank you for intelligent and profound discussion on work life and work-life balance which we so need to have and do here on this excellent podcast. Kudos to both Amy’s for inviting great guests and for providing listeners will a learning and supporting experience.,5,MBCal85,Brilliant
2020-06-24 13:17:09,"So helpful, great tips, real examples.  I’m a fan of both Amy’s who share their point of view at different parts on their career ladder. Thank you!",5,Salbagal,Sorry not sorry
2020-08-02 23:55:24,"But, I need women’s thoughts.",3,Globalstandard Space,I don’t like Amy B.
