timestamp,content,rating,user_name,title
2021-05-27 21:52:57,"The stories and life of Jeffrey Epstein’s escapades is so disturbing. And I feel terrible for all his victims. But something seems odd to me with this podcast.  I know there were countless girls abused and raped, but when these actors read the diary journals there is no way on earth that 16 girls talk or write like that. The wording, expressions and thoughts quoted just don’t sound like a 16 years old. 

I don’t doubt there are diaries and accounts of these terrible things; but I have a tough time believing the ones in the podcast are truthful, or not at least have been twisted.",3,1979bookworm,Strange
2021-09-13 18:12:57,"Shame on the show for spitting in the face of the victims by acting as though Dershowitz wasn’t a part of the scandal. We don’t know the truth because we weren’t there, but we should understand how hardening it would be for a victim to hear him commenting, while he was also brought up on charges.",1,The Dude 1970,Dershowitz???
2021-08-29 22:46:53,"I didn't get past the first episode--the sound between the narrator and the audio clips wasn't matched in volume. to me, unlistenable.",2,jellybean red,really bad sound
2020-12-21 15:01:03,"At around a half hour per episode, 15 minutes is advertising. C’mon guys, one ad per break, please! There are as many as three per break, sometimes the exact same ad, just repeated. Makes me not want to listen - it’s too distracting and the progress of the story is diminished.",3,55Buzzard55,Too many ads!!!!
2021-03-25 18:36:45,"The author of this rag podcast is obviously anti Trump. To Trump everyone is a nice guy, even you. How come you don’t mention Billy  Clinton in your intro? Clinton had several trip pedophille Island. Oh that’s right he an elite democrap!",1,Compobasso,Anti Trump
2021-01-29 18:02:03,I ended up bailing after about 5 episodes.   They replay the same interview more than once in an episode.  Very repetitive and just bored me to tears.,2,Krazybabe,Not impressed
2021-01-22 05:31:18,Children not under aged girls. Children cannot be prostitutes. They are victims of rape and grooming and molestation. This is absolutely disgusting!!!,1,OH! I-O,Shameful
2020-08-14 16:11:11,They don’t mention anything about the Clinton’s and how they were involved with his “suicide” and how Bill Clinton was there and participating in these actions with Epstein. The do mention trump and try to make it seem like he was involved when he wasn’t. They aren’t mentioning all the facts to protect their side and look good. Pretty sad to not mention the full truth. People deserve to know it all!,3,Julie smith is awesome,Beyond liberal
2020-09-15 14:15:52,"I’d just like to point out that many people are using the term “underage woman”. There’s no such thing. An under age girl is not a woman.  Absurd, but it’s clever wording to reduce the reaction to Epstein’s actions.  

Also, the fact that you can be charged for soliciting prostitution of an underaged person is insane!  By virtue of the fact they’re underage they can’t give consent. Therefore it’s not prostitution it’s trafficking, rape, sexual assault, etc.",5,Pepper529,Careful with words
2020-08-25 01:22:40,"The interviews are fascinating (I love these varied local accents), the narrative by the host is discreet, filling in neatly between the interviews. You get to hear the story unfold from the horses’ mouths, so to speak, with good editing. To the reviewers who complain there is not enough Clinton names in that exposé: are you serious? Clinton is mentioned many times, since he was on the Epstein guest list many times. Many other prominent people were too, and their names come up too. I say: looks like your bias is showing, Clinton-bashers. Are you interested in the truth, or only comforting your biases?",5,AgathePercyMortimer,Compelling show: I am hooked.
2020-07-21 17:47:01,"To be very clear we are correction officers not guards guards. Guards watch statues. We have the responsibility of maintaining care, custody and control of the worst criminals in the world..  Do not call us guards..",3,Stephanie#1210,Not guards
2020-08-09 02:02:21,This looked promising...until the reviews...I’ll get this info elsewhere.,1,Csjkscs,Too bad
2020-08-03 19:11:53,"When you read the interviews with the victims, this isn’t even close. This is nothing more than a cover up from the left. Nothing factual.",1,Runner girl in Ohio,Not even close
2020-07-22 17:32:50,Tries desperately to associate Trump & Epstein. Provides cover for Bill Clinton and Obama.,1,BJClinton is a pedo,Left Wing Hack Reporting
2020-07-19 16:30:45,Funny how Obama and Clinton involvements aren’t featured as prominently.,3,Slingermom,Politically biased; but good.
2020-07-21 14:52:46,Anti trump left wing.,1,Torkoschris,Clearly a left wing podcast.
2020-07-13 13:56:39,"Stretches out content by recapping and repeating. The man claiming to be an ex-PBC policeman who fled to Russia seeking political asylum was interesting. Emphasized how big the stakes are in this case. The number of times the name Trump was referenced with no significant facts was telling. Clinton ties were brushed over where there was real opportunity to dig deeper. Lying about the number of times on Lolita Express deserves some investigation, no?",3,sassynj,Redundant
2020-05-10 22:11:50,"Any review on this pod cast claiming bias against Donald Trump is playing bitter politics. It was as good as any true crime podcasts in its presentation. Very informative, interesting and completely fair.",4,NMC1233,4stars
2020-06-22 21:57:09,Good podcast. Quite revealing. States trump was closer to Epstein than he would like everyone to know. There’s videos on all who visited Epstein’s facilities for blackmail purposes. I’d like to see trump’s videos.,5,Hollyhoo1,Epstein: Devil in the darkness.
2020-06-19 21:24:25,"hope you guys are sucking trumps dick with how much you’ll defend a man you don’t know. 

GREAT JOB GIRL. loved it.",5,luv2listen15,dick suckers
2020-06-15 02:02:04,"You lost me with your bias against Trump.  Too bad, too. I enjoy listening to different podcasts about the same topic, but this one I’m skipping. Your slant against Trump is irrelevant considering the magnitude and horrific details of the story.  Epic fail. Zero stars if I could have.",1,Aligater,...no thanx
2020-02-05 03:15:34,"I really enjoyed this podcast and it kept my attention as I listened to all of it in about a week during my commute. However, in my honest opinion I think this could have been done with a couple less episodes. There were several times when I looked to re-check I wasn’t replaying an older episode because some of the interview recordings are used multiple times for different episodes. I see where it might have been for emphasis but it seemed like they were running out of details to support the episodes. Even with this negative, I feel it was pretty good.",4,Zully Hernandez,Enjoyed it overall but a bit repetitive
2020-05-08 03:50:31,"Way too much political bias! We get it, the orator hates President Trump and ignores the fact that Slick Willy Clinton was on his plane 26 times, and the hildabeast was probably on there some as well",3,Citychamp,Way too much political bias!
2020-04-26 13:59:51,"A lot of opinions,  speculation and repetitive interviews.  You would’ve thought that Donald Trump was in the flight log 26 times and not Bill Clinton!!.  She barely touched on Clinton’s relationship with Epstein,  while constantly mentioning Trump being associated.
Very unfortunate,  podcast had potential,  but dragged it out and left out a lot of facts and replaced them with their opinions.",1,Lilmee,Disappointed
2020-04-19 21:44:57,"I thought for the most part it was a decent pod cast regarding the origins and build up to Eprteins death. However, through out the pod cast she took it upon herself to interject political vitriol regarding President Trump and AG Barr. But when it came to the Clintons and all the other big name left leaning Epsteinites she downplayed and almost apologized for them. Dont waste your time.",2,ProvenOiler,Decent - but has a political agenda
2020-04-14 18:27:10,"Don’t bother listening to this, doesn’t even tell a story. 

Complete waste of my time. Wish I could get it back so I could listen to something worthwhile.",1,Megs11rn,Waste of time
2020-04-06 06:03:37,The political bias makes it intolerable to listen to.,1,grittyshaker,Disaster!
2020-03-27 19:18:09,"I want to make this perfectly clear. Our current President had nothing to do with Epstein after his conviction in 2005. But Clinton and his hag wife were on his plane, and island 26 times. Bill Clinton is a rapist, and his wife an enabler. Hopefully one day, they end up in prison where I get both belong",5,Michele Jo,Good listen
2020-03-19 03:50:39,It’s unbelievable how many people in powerful positions delight in raping children.  Including current and former sitting Presidents.  Mind bowing podcast!,5,Liz in San Diego,Glad I Listened!
2020-03-15 05:14:20,Sorry leftist I won’t be listening to your lies. You will find it was Clinton and never Trump on the Island. Trump 2020 make liberals cry again.,1,Vicarlos,Typical liberal lies
2020-02-26 05:46:50,Trump’s name thrown in a much as possible. Propaganda BS. Bill Clinton 20 plus flight record on Epstein’s plane mentioned only in passing. Offers no new info on his suicide/homicide.,1,Man111hqw,Political nonsense. No new information
2020-02-26 02:51:52,Really liked it for a few episodes then they got sooooo blame trump and started ignoring Clinton’s every picture I see on internet show trump with girlfriend at a social event not chasing children.   Can someone please have a podcast without political bias,1,stace0902,Had high hopes but just another liberal leaning podcast
2020-02-22 23:03:28,Saved me time I will not listen to more Trump bashing,1,Riverbuny,Not listening after reading reviews
2020-02-17 02:07:54,"Out of sheer boredom I decided to listen to this podcast. I had a suspicion what it would eventually turn into & I was right. Somehow, but very much to be expected, the host & a whole swath of guests manage to turn this into an indictment of Donald Trump & Bill Barr. And it heavily features Lisa Bloom who was a big defender of Harvey Weinstein which is only mentioned in passing. And no mention that her mother is Gloria Allred who’s a fame chasing media celebrity herself. 

The story is nothing you don’t already know. And this serves up all the conspiracy theories you can digest. Production is ok but nothing special. The host is quite annoying in her presentation which detracts from everything else. And of course the all too convenient overlooking all the left wing involvement & donations of Jeffrey Epstein makes this incomplete & a waste. Listen with complete skepticism if you have the time. Otherwise skip it.",1,Robert White 74,About what you’d expect
