review_id,rating,title,content,date,developer_response,user_name
8937569170,5,Great content,"Been following Bobby since 2019. I , as well as many others I’m sure, went down the rabbit hole with all the odd and weird conspiracies when it comes to the Epstein connections. I really do
Enjoy that he doesn’t touch on stuff he doesn’t have facts on or news that just seems just too far out there. I enjoy that he reads articles and news spur of the moment and gives his side comments as well. So many deep dives with people that are connected to shed light on the rest of the snakes that are still out free roaming around. I try to donate to his go fund me page as well since he does so much research and basically does the homework for me lol. I feel like out of all my friends, I make sure to share updates and new news when it comes to exposing all the co conspirators  within the ring. Much respect, Bobby! You’ve got a life long supporter here in GA.",2022-08-02 07:21:32-07:00,,VictoriaBruja
8913774522,5,Quickly becoming a favorite,"Most podcasts covering non-mainstream topics tend to have some level of bias built in to the analysis they provide. The Epstein Chronicles covers a variety of important topics without any of the framing that typically clouds discussions of this type. Episodes are published frequently and even the republished Look Back episodes provide value. Thanks for the hard work, Bobby.",2022-07-26 07:23:23-07:00,,TheOctoberSurprise
8510087146,1,Terrible audio,Unfortunately I couldn’t give it more than a few minutes of my time because of how awful the audio is. Sounds like he’s recording from inside a box. But the ads and commercials are annoyingly loud. Can’t comment on the content as the audio was a deal breaker for my attention.,2022-03-29 17:28:12-07:00,,Apoochchooch
8501949975,2,"Annoying voice, crude tone, very basic nothing burger","Nothing insightful, channeling popular anger through the lens of your big brother from the midwest, otherwise no pretentions, just amateur summary of news you already know if you’ve followed this carnival of elite hubris. I could have done without the gratuitous urban america/hood descriptions in reference to his formerly hrh’s sweating deficiency.

Epilogue this has got to go it’s clogging up my entire list of podcasts, many are just repeats.",2022-03-27 09:05:53-07:00,,hey!!abbott
8393196344,4,And the saga continues,"I find it annoying how he pronounces family name Windsor .
Listen often, always a good recap of the news on the two slimy disgusting creeps A & S.   
  I want to know who else was on the Lolita express regularly? Why aren’t more men being taken down by Virginia and her unfortunate peers.",2022-02-24 19:22:27-07:00,,Sellinpeoria
8362588724,1,So bad,"Overly excitable and incredibly inarticulate, how is this guy so bad at podcasting?",2022-02-16 08:56:31-07:00,,Miracle in the Andes
8347634086,5,"Excellent, thorough insightful coverage",I listen every day,2022-02-12 07:12:24-07:00,,Eryngi
8245402629,5,"Tid bits all day, every day",I listen all throughout the day.  Bobbie posts quite often and always find something new to catch up on... love,2022-01-15 18:47:16-07:00,,ries buds
8216954741,1,Opinionated,"Far too much animated talking, far too much regurgitation of other peoples reporting. Anybody can read the news and call it a podcast.",2022-01-07 23:31:30-07:00,,Mii moo
8198444279,5,Night time,Listen every night!,2022-01-02 22:07:15-07:00,,mj vance
8145339468,5,Great,The only podcast I could find on this trail. What is happening with the world?? Thank you for doing this important work.,2021-12-18 19:54:49-07:00,,lbergren
8126132634,1,Waste of time,"If you want to listen to someone read snippets of other journalists work and spout off relentlessly about his opinion, this is the podcast for you. If you actually care about information, keep looking!",2021-12-13 07:18:15-07:00,,CS doesnt learn italian
8115537860,5,Straight Shooter,There’s nothing I love more than a straight shooter,2021-12-10 08:32:30-07:00,,92_yoyo
8109964916,5,Great coverage,"Your amazing!! Passionate and honest. Your coverage is informative and complete. I would like to know how you first got involved in this case? 
I listen every night(I work over night shift)  thanks for keeping me company.
Keep up the great work!!
Looking forward to the next episode.
Thanks again
Dianna Torres",2021-12-08 18:21:17-07:00,,diannabisignano
8105661641,2,Too Much Opinion,Too much talking & personal opinion.  Just give me the facts & cut out the nonsense. It’s hard to stay focused because of nonsensical addition of words. You said you’re “not religious” yet you give an example about Jesus. Come one—cut out the brouhaha.,2021-12-07 11:58:20-07:00,,sandand60
8103341325,5,Best Epstein/Maxwell podcast out there,"Bobby has me hooked. Yes he goes on his mini rants or tangents sometime as other reviewers mentioned, but he is rooted in FACT and knows how to separate his opinion from FACT. He will sideline his opinion, which is basically — take it or leave it. Do with it what you will.

Bobby’s earnest about this topic and his passion shines through as I binge his episodes endlessly. Thank you for talking about these missing girls and these disgusting crimes. Thank you for doing investigations and sharing your knowledge.

Give it a listen if you want to go beyond the surface level with the Maxwell trial…",2021-12-06 19:55:13-07:00,,GottahLuvDhisKhidd
8101732579,5,Day 6 AM Rant,The rant on this morning’s show is terrific; money rules.  His rage is well pointed and his voice mirrors the frustrations of the age.,2021-12-06 08:08:39-07:00,,JohnZen99
8095656182,5,Credible Sourced Pod,"What I love about this podcast is that the journalism has been done and is on record in a way that is accessible, and Bobby is there to read it and give information on the people in the articles and also show the way they or their corporations or their peers are connected to this atrocity. I first heard of Jeffrey Epstein in 2017 and will never forget my husband telling me at dinner that it was a conspiracy that people would think I was nuts and I said it’s on TV and he said what is and I pointed at the tv and there was Epstein. Getting arrested. And when I found this podcast in September of 2019 I have listened faithfully and sent episode out to share and also the articles read have been shared. Nooooowwwww people in my circle who I literally quit talking to because they made fun of me and had dinners to laugh behind my back and text my family members to see how they even believed me are all seeing that it was true. And if media and politicians hit this then what else is being hidden? Sex traffic and human traffic is a scary thing to know our government has been complicit in. I am so thankful for a podcast that has been transparent and given such detailed information. Don’t stop Bobby ! And your partner is a trooper with all she’s gone through as well. Have a great Holiday!!⭐️⭐️⭐️⭐️⭐️",2021-12-04 15:22:41-07:00,,jenna pepper
8090857515,1,Ghislaine Maxwell trial,I got so frustrated while doing the dishes. He kept talking on and on. I had to turn him off. NOBODY CARES ABOUT ANYTHING BUT THE DETAILS OF THE TRIAL. So annoying. He just talks on and on and on about everything but the facts of the trial.,2021-12-03 08:14:13-07:00,,Kaybmkn
8084813729,5,Thank You!,Really impressed with this podcast! Listen to it daily for updates. Thank you for spotlighting the survivors of this horrific abuse. Continue to fight the good fight Bobby!,2021-12-01 14:38:16-07:00,,ittybittyhomestead
8080757552,2,Great topic made extremely boring,"A) get a script with topics so it’s not so repetitive 
B) get a podcast Partner 
C) don’t get lost in your thoughts 

You could make this so great because I think you have great topics, but I just can’t listen more than 5 minutes before getting annoyed and bored",2021-11-30 11:14:22-07:00,,Chavrifybjeanfh
7922914269,5,I love the authenticity,Bobby C. has a very unique voice and I love all his thoughts and can tell hard work was put fourth to make this. I had never really listened to Podcasts until last month and Bobby is the only one I look forward to hearing every day! I hope it continues. Thanks for all the great content homie!,2021-10-16 19:04:47-07:00,,Sheriff_Americana
7915609100,4,Brilliant insights buried in wandering rants,I wish I could get Bobby’s hilarious analysis and insight without time-consuming rants.,2021-10-14 18:58:09-07:00,,Tim Nardoni
7909554769,5,Extremely Informative,Bobby does a fantastic job with his research and reporting of the information. His commentary is what I looked forward to hearing. He really makes you think. Bobby is truly passionate in his mission. I appreciate his hard work in bringing these evils to light. Keep exposing these reprobates!!,2021-10-13 03:18:54-07:00,,Obdurate42
7878709365,4,Good podcast - needs a new microphone.,"Great content. Needs better audio, a little distracting.",2021-10-04 16:40:02-07:00,,DarraStone
7867318007,5,Deep dive,"This guy has amazing stamina! I can’t even finish a journal. 🤣 Keep up the great work, this story can’t be forgotten!",2021-10-01 18:15:18-07:00,,myszka & mouse
7828767415,5,Saddleless,"This guy’s wry humor, dead-on powers of observation and refusal to stay in his lane are a perfect fit for the circus-inspired stories he covers. An over-the-top, cocksure, presumptuous and impassioned breath of fresh air!",2021-09-20 23:45:02-07:00,,Xinaeve
